elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW1,59840,34M 0000y,493679.4,150388.7,-0.659254,51.244987,SU9367950388,0
GTW1,59950,34M 0110y,493578.9,150379.6,-0.660697,51.244922,SU9357850379,1
GTW1,60060,34M 0220y,493478.3,150370.5,-0.662139,51.244857,SU9347850370,1
GTW1,60170,34M 0330y,493377.8,150361.4,-0.663581,51.244792,SU9337750361,1
GTW1,60280,34M 0440y,493277.2,150352.3,-0.665024,51.244726,SU9327750352,28
GTW1,60390,34M 0550y,493169.8,150342.6,-0.666565,51.244657,SU9316950342,28
GTW1,60500,34M 0660y,493062.4,150332.9,-0.668105,51.244587,SU9306250332,28
GTW1,60610,34M 0770y,492955.0,150323.2,-0.669646,51.244517,SU9295550323,28
GTW1,60720,34M 0880y,492847.6,150313.5,-0.671187,51.244447,SU9284750313,28
GTW1,60830,34M 0990y,492754.7,150305.1,-0.67252,51.244387,SU9275450305,-27
GTW1,60940,34M 1100y,492661.7,150296.6,-0.673854,51.244326,SU9266150296,-27
GTW1,61050,34M 1210y,492568.7,150288.2,-0.675188,51.244266,SU9256850288,-27
GTW1,61160,34M 1320y,492475.8,150279.8,-0.676521,51.244205,SU9247550279,-27
GTW1,61270,34M 1430y,492375.4,150270.7,-0.677961,51.24414,SU9237550270,0
GTW1,61380,34M 1540y,492275.0,150261.7,-0.679401,51.244074,SU9227550261,0
GTW1,61490,34M 1650y,492174.7,150252.6,-0.680841,51.244009,SU9217450252,0
GTW1,61600,35M 0000y,492074.3,150243.5,-0.682281,51.243943,SU9207450243,0
GTW1,61710,35M 0110y,491974.1,150235.2,-0.683719,51.243885,SU9197450235,0
GTW1,61820,35M 0220y,491873.6,150230.1,-0.685159,51.243856,SU9187350230,0
GTW1,61930,35M 0330y,491773.1,150227.5,-0.6866,51.243848,SU9177350227,0
GTW1,62040,35M 0440y,491672.5,150226.7,-0.688041,51.243857,SU9167250226,0
GTW1,62150,35M 0550y,491571.9,150225.9,-0.689481,51.243866,SU9157150225,0
GTW1,62260,35M 0660y,491471.4,150225.0,-0.690921,51.243874,SU9147150225,0
GTW1,62370,35M 0770y,491370.8,150224.2,-0.692361,51.243883,SU9137050224,0
GTW1,62480,35M 0880y,491270.3,150223.4,-0.693801,51.243892,SU9127050223,-2
GTW1,62590,35M 0990y,491171.6,150222.5,-0.695215,51.2439,SU9117150222,-2
GTW1,62700,35M 1100y,491073.0,150221.7,-0.696628,51.243908,SU9107250221,-2
GTW1,62708,35M 1108y,491065.6,150221.6,-0.696733,51.243909,SU9106550221,0
GTW2,85227,48M 0747y,491074.0,150221.7,-0.696614,51.243908,SU9107350221,0
GTW2,85250,48M 0770y,491053.0,150221.9,-0.696914,51.243913,SU9105350221,0
GTW2,85360,48M 0880y,490954.7,150236.7,-0.698318,51.244062,SU9095450236,0
GTW2,85470,48M 0990y,490862.3,150275.3,-0.699632,51.244424,SU9086250275,0
GTW2,85580,48M 1100y,490776.5,150327.4,-0.700847,51.244905,SU9077650327,0
GTW2,85690,48M 1210y,490690.9,150379.9,-0.70206,51.245391,SU9069050379,0
GTW2,85800,48M 1320y,490605.3,150432.3,-0.703272,51.245876,SU9060550432,0
GTW2,85910,48M 1430y,490519.8,150484.8,-0.704485,51.246361,SU9051950484,0
GTW2,86020,48M 1540y,490434.2,150537.3,-0.705697,51.246847,SU9043450537,0
GTW2,86130,48M 1650y,490348.6,150589.8,-0.70691,51.247332,SU9034850589,0
GTW2,86240,49M 0000y,490263.0,150642.3,-0.708122,51.247817,SU9026350642,0
GTW2,86350,49M 0110y,490177.4,150694.8,-0.709335,51.248303,SU9017750694,0
GTW2,86460,49M 0220y,490091.8,150747.3,-0.710549,51.248789,SU9009150747,0
GTW2,86570,49M 0330y,490006.2,150799.8,-0.711762,51.249274,SU9000650799,0
GTW2,86680,49M 0440y,489920.6,150852.3,-0.712975,51.24976,SU8992050852,0
GTW2,86790,49M 0550y,489835.0,150904.8,-0.714188,51.250245,SU8983450904,0
GTW2,86900,49M 0660y,489752.7,150962.2,-0.715352,51.250774,SU8975250962,0
GTW2,87010,49M 0770y,489674.1,151024.6,-0.716462,51.251347,SU8967451024,0
GTW2,87120,49M 0880y,489599.9,151092.1,-0.717509,51.251966,SU8959951092,0
GTW2,87230,49M 0990y,489529.4,151163.6,-0.7185,51.25262,SU8952951163,0
